LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,TERMTRADE,TOT,RT,A,1970,80.4773129378906,NA
AUS,TERMTRADE,TOT,RT,A,1971,75.4092070336163,NA
AUS,TERMTRADE,TOT,RT,A,1972,89.7544310404888,NA
AUS,TERMTRADE,TOT,RT,A,1973,96.4596661087813,NA
AUS,TERMTRADE,TOT,RT,A,1974,87.7782048384418,NA
AUS,TERMTRADE,TOT,RT,A,1975,83.7533343607024,NA
AUS,TERMTRADE,TOT,RT,A,1976,81.0793370195099,NA
AUS,TERMTRADE,TOT,RT,A,1977,73.7531134869109,NA
AUS,TERMTRADE,TOT,RT,A,1978,74.2572937375055,NA
AUS,TERMTRADE,TOT,RT,A,1979,76.978952007688,NA
AUS,TERMTRADE,TOT,RT,A,1980,76.3395547615042,NA
AUS,TERMTRADE,TOT,RT,A,1981,75.1525916001296,NA
AUS,TERMTRADE,TOT,RT,A,1982,74.0305762433029,NA
AUS,TERMTRADE,TOT,RT,A,1983,75.8236757924369,NA
AUS,TERMTRADE,TOT,RT,A,1984,74.6481610226231,NA
AUS,TERMTRADE,TOT,RT,A,1985,67.5672563974652,NA
AUS,TERMTRADE,TOT,RT,A,1986,63.8856539982697,NA
AUS,TERMTRADE,TOT,RT,A,1987,69.4142317522459,NA
AUS,TERMTRADE,TOT,RT,A,1988,79.6955730588885,NA
AUS,TERMTRADE,TOT,RT,A,1989,79.974904408825,NA
AUS,TERMTRADE,TOT,RT,A,1990,75.7722329843757,NA
AUS,TERMTRADE,TOT,RT,A,1991,73.4394085082386,NA
AUS,TERMTRADE,TOT,RT,A,1992,70.4061515873696,NA
AUS,TERMTRADE,TOT,RT,A,1993,68.4314079249933,NA
AUS,TERMTRADE,TOT,RT,A,1994,70.6717727678076,NA
AUS,TERMTRADE,TOT,RT,A,1995,72.923767037853,NA
AUS,TERMTRADE,TOT,RT,A,1996,75.0819595896807,NA
AUS,TERMTRADE,TOT,RT,A,1997,74.665408945222,NA
AUS,TERMTRADE,TOT,RT,A,1998,70.993735425681,NA
AUS,TERMTRADE,TOT,RT,A,1999,73.8367177051229,NA
AUS,TERMTRADE,TOT,RT,A,2000,75.0712906955649,NA
AUS,TERMTRADE,TOT,RT,A,2001,76.1779574064207,NA
AUS,TERMTRADE,TOT,RT,A,2002,77.314406016926,NA
AUS,TERMTRADE,TOT,RT,A,2003,83.0872008543217,NA
AUS,TERMTRADE,TOT,RT,A,2004,90.9459810354189,NA
AUS,TERMTRADE,TOT,RT,A,2005,100.641927920167,NA
AUS,TERMTRADE,TOT,RT,A,2006,107.822999554865,NA
AUS,TERMTRADE,TOT,RT,A,2007,113.9099851209,NA
AUS,TERMTRADE,TOT,RT,A,2008,122.128998704991,NA
AUS,TERMTRADE,TOT,RT,A,2009,117.738714677714,NA
AUS,TERMTRADE,TOT,RT,A,2010,141.752907859333,NA
AUS,TERMTRADE,TOT,RT,A,2011,142.450766124994,NA
AUS,TERMTRADE,TOT,RT,A,2012,128.870743459454,NA
AUS,TERMTRADE,TOT,RT,A,2013,124.005024478627,NA
AUS,TERMTRADE,TOT,RT,A,2014,111.136534255466,NA
AUS,TERMTRADE,TOT,RT,A,2015,100,NA
AUS,TERMTRADE,TOT,RT,A,2016,114.308546378649,NA
AUS,TERMTRADE,TOT,RT,A,2017,116.505356541541,NA
AUS,TERMTRADE,TOT,RT,A,2018,123.161791510731,NA
AUS,TERMTRADE,TOT,RT,A,2019,124.118775006825,NA
AUS,TERMTRADE,TOT,RT,A,2020,136.853643483045,NA
AUT,TERMTRADE,TOT,RT,A,1970,115.304247988097,E
AUT,TERMTRADE,TOT,RT,A,1971,114.188518061899,E
AUT,TERMTRADE,TOT,RT,A,1972,115.727291555671,E
AUT,TERMTRADE,TOT,RT,A,1973,119.439257097187,E
AUT,TERMTRADE,TOT,RT,A,1974,112.79424476397,E
AUT,TERMTRADE,TOT,RT,A,1975,113.605096701024,E
AUT,TERMTRADE,TOT,RT,A,1976,112.432422482896,E
AUT,TERMTRADE,TOT,RT,A,1977,111.611177528392,E
AUT,TERMTRADE,TOT,RT,A,1978,111.971006258303,E
AUT,TERMTRADE,TOT,RT,A,1979,110.781564836117,E
AUT,TERMTRADE,TOT,RT,A,1980,107.023685527981,E
AUT,TERMTRADE,TOT,RT,A,1981,104.818811397105,E
AUT,TERMTRADE,TOT,RT,A,1982,106.314944547378,E
AUT,TERMTRADE,TOT,RT,A,1983,105.938129129283,E
AUT,TERMTRADE,TOT,RT,A,1984,106.012025966307,E
AUT,TERMTRADE,TOT,RT,A,1985,105.326604330273,E
AUT,TERMTRADE,TOT,RT,A,1986,106.553017099073,E
AUT,TERMTRADE,TOT,RT,A,1987,106.889794715696,E
AUT,TERMTRADE,TOT,RT,A,1988,106.843335912473,E
AUT,TERMTRADE,TOT,RT,A,1989,106.283149027978,E
AUT,TERMTRADE,TOT,RT,A,1990,106.956879194017,E
AUT,TERMTRADE,TOT,RT,A,1991,106.826259672602,E
AUT,TERMTRADE,TOT,RT,A,1992,106.141641959369,E
AUT,TERMTRADE,TOT,RT,A,1993,105.710202822503,E
AUT,TERMTRADE,TOT,RT,A,1994,106.031173312122,E
AUT,TERMTRADE,TOT,RT,A,1995,106.407295421262,NA
AUT,TERMTRADE,TOT,RT,A,1996,104.839846582451,NA
AUT,TERMTRADE,TOT,RT,A,1997,103.706728952739,NA
AUT,TERMTRADE,TOT,RT,A,1998,103.315700174702,NA
AUT,TERMTRADE,TOT,RT,A,1999,102.793507677363,NA
AUT,TERMTRADE,TOT,RT,A,2000,101.74674348398,NA
AUT,TERMTRADE,TOT,RT,A,2001,101.96182040853,NA
AUT,TERMTRADE,TOT,RT,A,2002,102.685021928511,NA
AUT,TERMTRADE,TOT,RT,A,2003,103.509507191074,NA
AUT,TERMTRADE,TOT,RT,A,2004,102.965562715383,NA
AUT,TERMTRADE,TOT,RT,A,2005,102.141765106736,NA
AUT,TERMTRADE,TOT,RT,A,2006,101.023683887506,NA
AUT,TERMTRADE,TOT,RT,A,2007,100.588436226939,NA
AUT,TERMTRADE,TOT,RT,A,2008,99.3463040388505,NA
AUT,TERMTRADE,TOT,RT,A,2009,101.225646556232,NA
AUT,TERMTRADE,TOT,RT,A,2010,99.5630673799262,NA
AUT,TERMTRADE,TOT,RT,A,2011,97.841218015289,NA
AUT,TERMTRADE,TOT,RT,A,2012,97.3440962366754,NA
AUT,TERMTRADE,TOT,RT,A,2013,97.4891848591615,NA
AUT,TERMTRADE,TOT,RT,A,2014,98.4428524550463,NA
AUT,TERMTRADE,TOT,RT,A,2015,100,NA
AUT,TERMTRADE,TOT,RT,A,2016,100.981905612698,NA
AUT,TERMTRADE,TOT,RT,A,2017,99.7900158081453,NA
AUT,TERMTRADE,TOT,RT,A,2018,99.51444647894,NA
AUT,TERMTRADE,TOT,RT,A,2019,98.8971833648977,NA
AUT,TERMTRADE,TOT,RT,A,2020,99.8319358204217,NA
BEL,TERMTRADE,TOT,RT,A,1970,106.202714139121,E
BEL,TERMTRADE,TOT,RT,A,1971,104.883560720676,E
BEL,TERMTRADE,TOT,RT,A,1972,106.231729966389,E
BEL,TERMTRADE,TOT,RT,A,1973,107.01015340466,E
BEL,TERMTRADE,TOT,RT,A,1974,104.455637160611,E
BEL,TERMTRADE,TOT,RT,A,1975,103.231662177539,E
BEL,TERMTRADE,TOT,RT,A,1976,102.720905101789,E
BEL,TERMTRADE,TOT,RT,A,1977,103.289482306164,E
BEL,TERMTRADE,TOT,RT,A,1978,103.340411962139,E
BEL,TERMTRADE,TOT,RT,A,1979,103.466720610863,E
BEL,TERMTRADE,TOT,RT,A,1980,99.5469192370528,E
BEL,TERMTRADE,TOT,RT,A,1981,96.0133347152992,E
BEL,TERMTRADE,TOT,RT,A,1982,95.5251451864756,E
BEL,TERMTRADE,TOT,RT,A,1983,95.276994509716,E
BEL,TERMTRADE,TOT,RT,A,1984,95.4624685288445,E
BEL,TERMTRADE,TOT,RT,A,1985,96.2423610200009,E
BEL,TERMTRADE,TOT,RT,A,1986,100.278038956144,E
BEL,TERMTRADE,TOT,RT,A,1987,101.291927611296,E
BEL,TERMTRADE,TOT,RT,A,1988,102.845504970491,E
BEL,TERMTRADE,TOT,RT,A,1989,103.692631475522,E
BEL,TERMTRADE,TOT,RT,A,1990,103.342949975806,E
BEL,TERMTRADE,TOT,RT,A,1991,103.409871670994,E
BEL,TERMTRADE,TOT,RT,A,1992,105.194594468675,E
BEL,TERMTRADE,TOT,RT,A,1993,106.815425742551,E
BEL,TERMTRADE,TOT,RT,A,1994,106.328274916591,E
BEL,TERMTRADE,TOT,RT,A,1995,106.224722326825,NA
BEL,TERMTRADE,TOT,RT,A,1996,105.435022956766,NA
BEL,TERMTRADE,TOT,RT,A,1997,105.094224719886,NA
BEL,TERMTRADE,TOT,RT,A,1998,105.658833486933,NA
BEL,TERMTRADE,TOT,RT,A,1999,104.677665184804,NA
